document_id,passage_count,original_mean,shuffled_mean,original_actor_overlap_proportion,shuffled_actor_overlap_proportion
001-184525,674,0.5622560702413764,0.36895421995669964,0.9192546583850931,0.5830976549512018
001-185231,33,0.5375062730163336,0.42077999308239666,0.7692307692307693,0.5576190476190476
001-185312,64,0.5637469414680724,0.4570108522971471,0.9629629629629629,0.5681318681318681
001-185495,122,0.5584608827494393,0.38151928750444053,0.8,0.47111111111111115
001-186116,65,0.56668262463063,0.3748106207931414,0.7916666666666666,0.6706349206349206
001-186135,132,0.5772990793672227,0.4364901222231734,0.9210526315789473,0.4028959810874705
001-186439,64,0.5521896192951808,0.39448692339531605,0.9333333333333333,0.6006259426847662
001-186451,63,0.5730024954724696,0.39415647898530287,0.96,0.8858585858585858
001-187419,143,0.6078627589093127,0.4771970032228971,0.7777777777777778,0.5319178380734444
001-187540,541,0.5903399704938271,0.4213214554357842,0.9084967320261438,0.4602112241751464
001-187731,127,0.5658236506675917,0.4256657967972199,1.0,0.6933333333333334
001-187739,58,0.5551940095529222,0.40836027752150567,0.8888888888888888,0.43619047619047613
001-187926,25,0.5458936753372351,0.40757395016650355,0.8181818181818182,0.6542857142857142
001-187930,135,0.5826878587701427,0.41312200038228186,0.9285714285714286,0.32335164835164837
001-189591,53,0.561062247134172,0.4430263320270639,0.7142857142857143,0.4712121212121213
001-191364,15,0.5262063954557691,0.4419039115309715,0.6666666666666666,0.6666666666666666
001-191749,62,0.6059909746295116,0.45045308139724816,0.9565217391304348,0.5502525252525252
001-192205,102,0.6179366623706156,0.45608051685561046,0.972972972972973,0.6472727272727272
001-192210,96,0.5829819929442908,0.42521661415696144,0.9056603773584906,0.644367816091954
001-193069,48,0.5798485177628537,0.4219225190579891,0.8333333333333334,0.615
001-193078,40,0.6235846735728092,0.4713469987496352,0.8461538461538461,0.48
001-193260,37,0.5772334018515216,0.4031945387108459,0.8181818181818182,0.4966666666666667
001-193608,52,0.586868089203741,0.4796532906153622,0.8823529411764706,0.5071428571428571
001-194317,38,0.5446711251059094,0.40653378617119146,0.875,0.4583333333333333
001-194444,94,0.6009262172124719,0.45528617186411735,0.9090909090909091,0.5062826062826062
001-194735,128,0.6333458551506358,0.4921411633374184,0.8541666666666666,0.45499999999999996
001-195863,124,0.6167076545033029,0.4485550103883251,0.9384615384615385,0.5271112795250726
001-196377,60,0.4975915558762469,0.40825953483581545,0.7,0.6411324786324786
001-197098,174,0.593401242892737,0.4356994646176092,0.75,1.0
001-198472,48,0.5481781997579209,0.42898801099112693,0.75,0.4503018575851393
001-198708,70,0.5752387039255404,0.44937774718239687,0.9069767441860465,0.6967195767195767
001-199075,121,0.5728567986438672,0.39181246779859064,0.8125,0.7746147978642257
001-199381,90,0.5762722850515601,0.4051076527810499,0.8666666666666667,0.39207459207459205
001-199636,30,0.5679348558187485,0.4055506954676118,0.8571428571428571,0.5571428571428572
001-200324,76,0.5831784057617188,0.45835056655357287,0.7222222222222222,0.660952380952381
001-200333,551,0.6017687047069723,0.3608282839477126,0.9148936170212766,0.601159688912823
001-200436,123,0.5910206735134125,0.44144668583071134,0.9074074074074074,0.4647352647352648
001-200437,48,0.6516595340155541,0.4949600278855638,0.7894736842105263,0.38293650793650796
001-200444,64,0.581975386019737,0.44022004542842746,0.9047619047619048,0.6826984126984128
001-200719,132,0.6088673879627053,0.43134285350337287,0.8703703703703703,0.7475152866457215
001-201326,92,0.5443803349530304,0.39123996216292073,0.9512195121951219,0.5281818181818181
001-201348,82,0.5837067785086455,0.4619602238598429,0.8604651162790697,0.48138528138528136
001-201647,75,0.5963567579920227,0.46670831943283214,0.8275862068965517,0.4769230769230769
001-201756,43,0.5737770618427367,0.4385068253747054,0.85,0.7076923076923076
001-201896,86,0.5536857553264674,0.45829982235151173,0.9787234042553191,0.5524475524475524
001-202416,110,0.6143817171591137,0.4529728582932041,0.9661016949152542,0.7078791308672464
001-202417,43,0.5673923364707402,0.42805505405579297,0.8235294117647058,0.518968253968254
001-202433,40,0.5629712213308383,0.42483836267239006,1.0,0.7417460317460317
001-202461,38,0.5793593018441587,0.458194402625432,0.8666666666666667,0.42857142857142855
001-202520,39,0.543471594782252,0.4143972646248968,0.85,0.82
001-202693,55,0.5528494652222704,0.4415691223133494,0.8333333333333334,0.6481442577030812
001-202989,29,0.5542289830212083,0.43483633175492287,0.8181818181818182,0.6
001-203003,42,0.5254326168356872,0.4491457807945042,0.8,0.6476190476190475
001-203631,54,0.5698262604902375,0.44165675859406306,1.0,0.7936363636363637
001-204826,72,0.5756267827581352,0.45079112399212073,0.8846153846153846,0.6383838383838383
001-205146,42,0.5306872620088298,0.4237856981594389,0.8095238095238095,0.41818181818181815
001-205378,36,0.549660118988582,0.41630663439631466,1.0,0.8028571428571428
